step,epoch,total_loss,ce_loss,distill_loss,ref_ce_loss,timestamp
0,0.0000,8.540258,4.148529,0.122129,4.269600,2026-04-26 16:55:20
100,1.0240,7.054912,3.077728,0.042381,3.934802,2026-04-26 16:55:33
200,2.0480,6.600783,2.810516,0.029216,3.761051,2026-04-26 16:55:46
300,3.0720,6.189016,2.552643,0.024490,3.611884,2026-04-26 16:55:56
400,4.0960,5.708166,2.286835,0.022153,3.399178,2026-04-26 16:56:06
500,5.1200,5.224845,2.042267,0.040576,3.142002,2026-04-26 16:56:15
600,6.1440,4.748592,1.846077,0.026345,2.876170,2026-04-26 16:56:23
700,7.1680,4.504516,1.754494,0.023132,2.726890,2026-04-26 16:56:31
800,8.1920,4.452366,1.738957,0.021348,2.692061,2026-04-26 16:56:40
900,9.2160,4.356137,1.732870,0.019950,2.603316,2026-04-26 16:56:48
1000,10.2400,4.459054,1.769869,0.018196,2.670989,2026-04-26 16:56:56
1100,11.2640,4.357758,1.715375,0.018990,2.623393,2026-04-26 16:57:07
1200,12.2880,4.245906,1.666428,0.018531,2.560946,2026-04-26 16:57:20
1300,13.3120,4.279425,1.674520,0.022881,2.582023,2026-04-26 16:57:31
1400,14.3360,4.246960,1.669393,0.025237,2.552330,2026-04-26 16:57:40
1500,15.3600,4.297379,1.726414,0.023503,2.547461,2026-04-26 16:57:49
1600,16.3840,4.222470,1.679829,0.025714,2.516927,2026-04-26 16:57:59
1700,17.4080,4.185563,1.661180,0.027150,2.497233,2026-04-26 16:58:08
1800,18.4320,4.173188,1.654766,0.028746,2.489676,2026-04-26 16:58:17
1900,19.4560,4.240757,1.679044,0.027125,2.534588,2026-04-26 16:58:27
2000,20.4800,4.234024,1.671220,0.027100,2.535703,2026-04-26 16:58:35
2100,21.5040,4.229275,1.663456,0.024917,2.540901,2026-04-26 16:58:44
2200,22.5280,4.282786,1.712885,0.028121,2.541780,2026-04-26 16:58:52
2300,23.5520,4.257730,1.677920,0.027019,2.552791,2026-04-26 16:59:01
2400,24.5760,4.152396,1.635590,0.027058,2.489748,2026-04-26 16:59:14
2500,25.6000,4.166124,1.654395,0.026576,2.485152,2026-04-26 16:59:27
2600,26.6240,4.211787,1.696035,0.031070,2.484681,2026-04-26 16:59:37
2700,27.6480,4.108331,1.612897,0.027206,2.468229,2026-04-26 16:59:47
2800,28.6720,4.168599,1.671962,0.029738,2.466899,2026-04-26 16:59:56
2900,29.6960,4.195258,1.661813,0.027263,2.506181,2026-04-26 17:00:06
3000,30.7200,4.201620,1.680704,0.027499,2.493417,2026-04-26 17:00:16
3100,31.7440,4.262467,1.682829,0.030495,2.549144,2026-04-26 17:00:25
3200,32.7680,4.139208,1.657527,0.037197,2.444484,2026-04-26 17:00:35
3300,33.7920,4.141544,1.634851,0.029995,2.476697,2026-04-26 17:00:45
